track_name,artist_name
Taking It Out,DaBaby
My Shit,A Boogie Wit da Hoodie
emotions,iann dior
Unbothered,Ski Mask The Slump God
Hard (feat. Tay-K and BlocBoy JB),"No Jumper, Tay-K, BlocBoy JB"
Kamikaze,Lil Mosey
Goin Baby,DaBaby
Fine China,"Future, Juice WRLD"
Real Ties,Lil Skies
Burberry Headband,Lil Mosey
Fuck Love (feat. Trippie Redd),"XXXTENTACION, Trippie Redd"
1.5,21 Savage
I Like Girls (feat. Lil Skies),"PnB Rock, Lil Skies"
Big Money,Lil Skies
Lust,Lil Skies
151 Rum,JID
Baby Sitter (feat. Offset),"DaBaby, Offset"
Rubbin off the Paint,YBN Nahmir
Suge,DaBaby
Out Of Luck,Lil Tecca
Noticed,Lil Mosey
Backend,DaBaby
Welcome to the Rodeo,Lil Skies
Armed And Dangerous,Juice WRLD
Spice Girl,Aminé
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie"
Shotta Flow (Feat. Blueface) [Remix],"NLE Choppa, Blueface"
romance361,"iann dior, PnB Rock"
Shotta Flow 3,NLE Choppa
I,Lil Skies
Floating (feat. 21 Savage),"ScHoolboy Q, 21 Savage"
Ladbroke Grove,AJ Tracey
RIOT,Trippie Redd
Too Many Years,"Kodak Black, PnB Rock"
Through Da Storm,Polo G
Fashion Week (feat. AJ Tracey & MoStack),"Steel Banglez, AJ Tracey, MoStack"
Feeling,Juice WRLD
Under The Sun (with J. Cole & Lute feat. DaBaby),"Dreamville, J. Cole, Lute, DaBaby"
Nowadays (feat. Landon Cube),"Lil Skies, Landon Cube"
Locked Up,Tee Grizzley
do re mi,blackbear
Say A',A Boogie Wit da Hoodie
Missin You Crazy,Russ
Wet Dreamz,J. Cole
Lucid Dreams,Juice WRLD
Robbery,Juice WRLD
Location (feat. Burna Boy),"Dave, Burna Boy"
Selfish,PnB Rock
Red Roses (feat. Landon Cube),"Lil Skies, Landon Cube"
Murder On My Mind,YNW Melly
a lot,21 Savage
No Role Modelz,J. Cole
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),"Tee Grizzley, A Boogie Wit da Hoodie, YNW Melly"
Envy Me,Calboy
Finer Things,Polo G
Battle Cry,Polo G
The London (feat. J. Cole & Travis Scott),"Young Thug, J. Cole, Travis Scott"
Immortal,"Trippie Redd, The Game"
SPEEDBOAT,Denzel Curry
Walker Texas Ranger,DaBaby
Pony,DaBaby
Deal Wit It,DaBaby
Joggers (feat. Stunna 4 Vegas),"DaBaby, Stunna 4 Vegas"
Tupac,DaBaby
Off Deez (with J. Cole),"JID, J. Cole"
NEVER,JID
18,iann dior
Topanga,Trippie Redd
Creeping (feat. Rich the Kid),"Lil Skies, Rich The Kid"
High School,ION LIL GUT
These Days,Mike Stud
hot girl bummer,blackbear
No Talkin,Tee Grizzley
Carpet Burn,DaBaby
Love Scars 3,Trippie Redd
NONSENSE,Comethazine
BENJAMIN COUNTER,Comethazine
HIPPOPOTAMUS,Comethazine
DEMAR DEROZAN,Comethazine
DEAD TO ME,blackbear
HATE MY GUTS,blackbear
SWEAR TO GOD,blackbear
Hey Julie! (feat. Lil Yachty),"KYLE, Lil Yachty"
Yacht Club (feat. Juice WRLD),"Lil Yachty, Juice WRLD"
Walk,Comethazine
ONMYGRANNYKIDS,Comethazine
Pop Out (feat. Lil Tjay),"Polo G, Lil Tjay"
crash my whip,iann dior
Daddy (feat. Rich The Kid),"Blueface, Rich The Kid"
Mac 10,"Trippie Redd, Lil Baby, Lil Duke"
Love Scars,Trippie Redd
Snake Skin,Trippie Redd
Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),"A Boogie Wit da Hoodie, PnB Rock, YoungBoy Never Broke Again"
Bounce Out With That,YBN Nahmir
Look Alive (feat. Drake),"BlocBoy JB, Drake"
Worth It,YK Osiris
Love Me,Lil Tecca
Did It Again,Lil Tecca
Meet Again,Maxo Kream
BLACKJACK,Aminé
foreign,gianni & kyle
beibs in the trap,Travis Scott
RICKY,Denzel Curry
Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna"
Death Note,"GNAR, Lil Skies, Craig Xen"
Bussdown (feat. Offset),"Blueface, Offset"
Pure Water (with Migos),"Mustard, Migos"
Ransom (with Juice WRLD) - Remix,"Lil Tecca, Juice WRLD"
Rodeo,"Lil Nas X, Cardi B"
No Rest,Lil Skies
Clout (feat. Cardi B),"Offset, Cardi B"
The Clique,Lil Skies
Strictly Business,Lil Skies
Lettuce Sandwich,Lil Skies
I Know You (feat. Yung Pinch),"Lil Skies, Yung Pinch"
Fast,Juice WRLD
Ballin' (feat. Roddy Ricch),"Mustard, Roddy Ricch"
Signs of Jealousy,Lil Skies
Deep Wounds,Polo G
Bossanova,Lil Tecca
Behind Barz - Bonus,Drake
Dyin Breed,Polo G
Cat Pack,AJ Tracey
iSpy (feat. Lil Yachty) - No Intro,"KYLE, Lil Yachty"
I BE DAMNED,Comethazine
Somebody,"Internet Money, Lil Tecca, A Boogie Wit da Hoodie"
Throw It Away,Trippie Redd
Under Enemy Arms,Trippie Redd
Lil Wayne,Trippie Redd
Nowadays (feat. Landon Cube),"Lil Skies, Landon Cube"
Amigo,Lil Tecca
CAPO,NLE Choppa
